<<<<<<< HEAD
<<<<<<< HEAD
=======
<<<<<<< HEAD
FIPS,State,County/Borough/Parish,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
48019,Texas,Bandera,2020,7555.717234,16.93583361,9.21386306,13.66331544,29.9,6.8,27.8,58.48181596,16.9893277,31.25,219.2,17.66411811,18.65013264,26.84444,21.90676,61.33894,2489,91.5,60.43380703,3.407258065,22.8,104633,24256,36.26224157,9.395552772,137.7181527,75.15213725,8.9,Yes,11.99273168,56.2,351,337.9045661,67.18624026,0,8.6,120,14.5,14.9362967,21.96339434,13.9631456,43.81353,53008,51.01727447,0,22824,16.70171749,26.97599019,207,0.906940063,297,1.30126183,134,0.587101297,10,0.04381353,4430,19.40939362,17621,77.20382054,280,1.339777023,50.372415,20485,100
48021,Texas,Bastrop,2020,7880.31778,20.34385226,7.576810788,15.63321306,38.4,7.3,23.9,47.51317901,19.3314674,28.46153846,897.8,34.33799785,21.75716118,27.13512,33.34253,57.48712,4397,93.5,49.10741455,3.36217493,19.2,116107,27801,29.67619048,7.432663607,406.7017373,84.24803784,10.1,No,15.43377227,55.5,1145,379.0225882,44.37230701,5.14506217,11.7,221.4,12.5,7.466498998,28.56362236,12.62902514,34.49227,61883,69.31855022,5.677241712,86976,25.42885394,15.18924761,5804,6.673105224,1715,1.971808315,809,0.930141648,125,0.143717807,33683,38.7267752,45213,51.98330574,4140,5.368257261,49.07100809,47360,63.85244907
48023,Texas,Baylor,2020,11359.32578,17.13481195,8.695652174,14.2415964,26.6,7.3,25.2,85.856146,17.16556426,27.27272727,335.1,42.2125182,18.91691395,139.6258,27.91736,0,7478,97.9,59.90415336,3.256704981,28.6,88111,20310,16.55969191,13.96258029,236.0127725,110.6806862,7.8,No,7.917888563,7.3,86,615.461734,0,0,11.7,0,16.2,0,47.41771052,12.7582017,55.83473,41180,56.99481865,0,3582,23.00390843,23.813512,91,2.540480179,30,0.837520938,17,0.474595198,3,0.083752094,489,13.65159129,2912,81.29536572,0,0,51.31211614,3726,100
48025,Texas,Bee,2020,8266.96578,23.85358589,10.11538462,15.76524862,30.7,7.1,21.7,50.88980258,19.80991197,25.92592593,909,53.19313438,18.91194187,21.49679,30.68708,42.96192,7025,89,36.2889356,5.081687882,32,84750,15778,32.34653896,4.299358167,252.086887,64.16641713,9.4,Yes,17.24137931,29.9,433,442.7285364,53.57716898,7.671653241,13.3,620.7,13.9,0,19.21707874,9.305927073,55.23675,41806,70.38216561,6.551276844,32587,21.06054562,12.31165802,2714,8.328474545,300,0.920612514,209,0.641360052,33,0.101267377,19309,59.25369012,10075,30.91723694,783,2.544934508,39.1812686,13693,42.97730768
48027,Texas,Bell,2020,7306.728753,20.28955675,8.759006096,15.17941478,34.8,6.1,22.9,77.6801457,20.34342058,26.10837438,1204.6,39.8885257,13.26065831,81.64838,80.13677,215.9475,6936,75,68.95798862,4.118928797,19.1,99553,25144,33.51704732,7.561099723,411.0096789,62.99887527,10.1,Yes,14.91705375,23.1,3599,371.1579268,69.06131342,6.850269367,11.1,248.3,18.7,10.05856961,15.09851996,6.390035673,168.4278,54292,55.84472421,6.955497961,355642,27.7011714,10.84939349,78801,22.15739423,3800,1.068490223,11586,3.257770455,3140,0.882910342,89922,25.28441523,159503,44.84931476,7139,2.283771117,50.3123928,47113,15.18622979
48029,Texas,Bexar,2020,6963.3712,22.49203986,8.945078134,14.89929757,28.6,7.6,23.4,86.26412942,20.05343091,28.28389831,663,33.36355941,16.90497901,74.0333,85.49638,177.48807,4099,87.3,62.72560918,3.328621533,23.7,110196,23237,36.76806429,5.749068967,533.0588154,58.97001805,10.4,Yes,17.90653276,34.7,20421,349.839865,54.0798679,6.30723766,8.5,376.2,11.4,11.27133317,11.03532513,7.958862208,97.63103,54210,61.71269373,7.127610686,1986049,25.56175603,12.1155621,146211,7.361902954,24235,1.220261937,65187,3.282245302,4496,0.226379108,1201366,60.49024974,543307,27.35617299,107550,6.017648412,50.6298183,77835,4.539084765
48031,Texas,Blanco,2020,6887.040096,16.31722229,6.369426752,13.3943886,29.4,8.2,27.5,49.88091836,17.43483555,37.93103448,1126.8,18.29871414,21.46253113,43.00705,34.18219,8.54555,3385,96.5,58.01886793,2.624,17.2,124915,28888,33.24962331,10.32169276,136.8176221,84.90165558,8.9,No,14.25149701,40.4,171,319.0915792,0,0,12.4,131.4,13.1,0,16.68506302,18.15834768,25.63664,64832,39.40828402,0,11702,18.24474449,24.27790121,127,1.085284567,151,1.290377713,129,1.102375662,11,0.094001026,2318,19.80857973,8940,76.39719706,230,2.126086153,49.8205435,10497,100
48033,Texas,Borden,2020,0,12.57925843,0,10.64309217,27.1,7,26.1,0,19.86036989,0,0,0,16.1849711,0,0,0,0,100,81.45695364,3.151862464,14.5,119900,41857,14.20118343,0,466.2004662,0,7.1,Yes,4,60.5,0,0,0,0,16.5,1070.7,12.9,0,0,14.74358974,0,66101,24.89270386,0,648,20.21604938,24.69135803,6,0.925925926,5,0.771604938,1,0.154320988,0,0,121,18.67283951,507,78.24074074,0,0,47.99382716,641,100
48035,Texas,Bosque,2020,9705.364001,17.59210963,7.037896365,14.26907157,31.8,7.5,27.2,31.38040852,17.00357772,13.63636364,261.9,28.48775293,22.26341038,54.56728,37.45118,21.40067,5635,96.8,49.80326026,3.698296837,24,97981,23804,31.50051388,13.64182037,82.2082398,83.71426998,9.5,No,12.81690141,45.2,345,454.9716915,101.3877448,0,10.5,104.7,15.5,0,27.61014476,13.90583069,42.80135,48460,62.3489426,0,18691,21.57722968,24.64822642,311,1.663902413,162,0.866727302,107,0.572468033,14,0.074902359,3560,19.04659997,14421,77.15478038,437,2.547807836,50.52164143,14791,81.21568197
48037,Texas,Bowie,2020,9530.08642,18.89508423,9.866161317,17.14611872,47.3,5.9,39.3,40.86317723,18.43125663,23.52941177,511.6,50.7005991,16.35651995,67.01272,56.1893,98.59633,5585,95.5,53.52640817,4.944929738,25.5,96092,18208,42.96927866,13.18980556,514.2963733,61.63886875,10,No,15.82551734,14.5,1553,477.9831546,79.67590982,8.405351012,14.8,378.7,21.5,9.213454478,15.56075943,8.142626738,148.42458,47339,60.4903873,7.780379713,94324,23.73945125,16.54403969,23536,24.9522921,997,1.056995038,1302,1.380348586,87,0.092235274,7362,7.80501251,59565,63.14935753,1015,1.156062781,49.6702854,32791,35.4248366
48039,Texas,Brazoria,2020,6206.430648,18.37629734,8.367999035,13.40695671,28.2,7.5,28,80.51352957,18.238275,33.33333333,400.3,28.12149913,14.16745862,64.55938,53.75473,67.26094,5472,93.8,68.51782549,4.52528283,13.1,143915,32488,23.18117888,6.483527701,182.6460152,51.71378116,11.4,Yes,13.68448683,48.7,3728,328.8079773,45.82255412,4.515209126,10.5,260.4,14,10.21298208,13.31245654,9.159398083,60.23771,74225,44.17376277,4.121503574,370200,26.45732037,11.7984873,51645,13.95056726,3068,0.828741221,25891,6.993787142,367,0.099135602,115205,31.11966505,170881,46.15910319,13581,4.128139191,49.48649379,70552,22.52862699
48041,Texas,Brazos,2020,4877.948722,17.97338885,7.638085218,14.15272809,29.1,5.8,20.1,88.63490565,18.95660417,29.29292929,702.8,18.1122593,16.90047253,85.2668,51.59686,86.87676,4681,85.7,69.74325753,2.839616023,20.2,104400,17455,33.9433794,7.584257057,317.1294608,36.46519721,10.1,Yes,27.00046177,10.6,1408,267.986868,42.84348944,4.509875071,8,204.8,20.3,3.731315438,10.34697064,10.65982435,59.53483,50113,56.57396742,2.670185972,226758,20.58802777,9.156016546,23648,10.42873901,1529,0.674287126,14907,6.573968724,263,0.115982678,59015,26.02554265,125362,55.28448831,9460,4.600115732,49.45007453,23506,12.06357678
48043,Texas,Brewster,2020,8207.713439,21.54532172,6.338028169,14.44122341,25.9,7.2,26.8,57.9397747,17.0343678,66.66666667,503.4,26.73456397,19.78491659,64.26047,32.37294,129.49174,3900,98.7,61.35123794,3.372722797,21.2,94968,19365,24.92437992,18.20713291,162.601626,101.9036469,6.3,No,18.18181818,12.5,136,372.7658368,0,0,12,0,12.3,0,18.54026327,11.82682154,75.53685,45670,51.79127726,0,9267,18.81946693,23.13585842,114,1.230171577,159,1.71576562,126,1.359663322,17,0.183446639,4173,45.03075429,4666,50.35070681,184,2.107916142,49.45505557,3219,34.86785095
48045,Texas,Briscoe,2020,0,19.31101797,0,14.33374871,26,4,28.5,71.22785583,16.68972139,50,916.2,0,31.4310799,0,0,0,4263,100,50.50167224,3.935599284,24.3,92409,20466,41.15523466,0,0,0,6.9,Yes,8.571428571,27.3,21,307.4904122,0,0,10.2,0,13.4,0,0,25.07936508,65.96306,44409,54.41176471,0,1516,18.73350924,26.18733509,51,3.364116095,12,0.791556728,4,0.263852243,0,0,376,24.80211082,1049,69.19525066,68,4.644808743,50.59366755,1637,100
48047,Texas,Brooks,2020,8970.862862,38.22644594,8.415841584,18.20300233,36.9,7,25.8,42.01855185,13.45778746,13.33333333,732.6,88.19628647,16.66094715,0,14.05679,14.05679,9230,89.7,40.19607843,6.464811784,48.6,66571,11022,58.42818428,4.146510021,234.272721,72.24831189,8.6,Yes,20.68965517,21.1,107,462.3602978,0,0,11.9,192.9,14.7,0,19.84717674,6.256015399,28.11358,30116,79.92448081,0,7114,28.29631712,18.31599663,38,0.534157998,46,0.646612314,80,1.124543154,3,0.042170368,6514,91.56592634,473,6.6488614,614,9.192992963,49.465842,2294,31.75965665
48049,Texas,Brown,2020,9384.339351,18.47503571,9.109874826,15.15666042,38.6,6.5,33.7,64.86904949,18.41729838,31.57894737,562.4,35.02570694,18.68831257,49.93036,42.18964,181.94283,3495,96.5,55.2115942,3.733283804,21.2,90225,21850,27.46318688,17.60702179,314.4986522,71.1286269,8.3,Yes,10.89071856,11.1,690,482.5382452,61.39453296,8.713837574,12.7,140.2,15.8,0,16.95739173,10.48239598,81.74243,47097,62.8922632,4.521971127,37924,22.14956228,19.92405864,1345,3.546566818,325,0.856977112,306,0.806876912,30,0.07910558,8627,22.74812784,26918,70.97879971,698,1.950755988,50.52209683,15395,40.40046187
48051,Texas,Burleson,2020,8224.072137,17.6254747,8.216292135,14.07257299,38.4,7.3,25,49.87490545,17.63540146,40,388.7,38.60038878,19.83760325,38.86514,5.43803,10.87607,5873,94.2,43.52734571,3.58749848,23.7,103226,23988,29.64836833,12.21475765,173.8713352,77.63887795,9.8,Yes,12.13782302,49.9,315,429.6990542,0,0,4.8,187.8,16.1,0,25.94601607,11.93032689,43.50427,53626,61.39037433,0,18389,22.18173908,20.41981619,2292,12.46397303,197,1.071292621,75,0.407852521,7,0.038066235,3830,20.82766872,11844,64.40807004,433,2.581837696,50.81298602,13175,76.65677547
48053,Texas,Burnet,2020,6882.320326,16.53701917,6.654783125,13.38204053,31.3,7,27.3,62.97777778,17.88092384,28.125,489.3,33.83341956,21.28329911,47.00453,42.06807,65.2055,4438,92.9,53.42395222,2.865453914,18.6,108477,26706,31.69788274,13.24673105,247.7413489,83.98450183,9.1,Yes,12.79141104,33.5,631,333.7722844,0,0,17.8,139,13.5,14.22586404,23.25099131,13.95107207,58.89529,56696,60.12377237,4.398836194,47542,21.39371503,22.34866013,855,1.798409827,567,1.192629675,439,0.923394052,38,0.079929326,10778,22.67048084,34680,72.94602667,1045,2.411890969,50.99911657,23800,55.67251462
48055,Texas,Caldwell,2020,8696.090376,23.05885062,8.645690835,15.43705445,39.1,7.7,27.3,58.71906688,17.43964517,28.07017544,1065.2,38.59517326,21.69296987,28.34333,30.05989,76.30587,5634,90.2,41.11508086,3.619316991,20.7,98741,23569,34.43851365,8.739194105,219.3145491,72.91938303,10.1,No,16.06790367,51.5,611,437.0586047,35.16351032,0,10.6,254,12.5,11.83469301,23.15432004,11.13358374,50.87058,52588,73.37653921,3.859053339,43247,23.82361782,14.35937753,2479,5.732189516,673,1.556177307,438,1.012787014,44,0.101741161,22935,53.0325803,16860,38.98536315,2093,5.390995261,49.54100863,16099,42.29233437
48057,Texas,Calhoun,2020,7461.448123,20.95003572,7.234251969,14.00167443,30.7,7.2,22.7,55.21724896,17.67287946,50,303.5,53.22740814,19.235083,50.58867,41.74203,13.91401,7189,93,47.79342723,4.138054044,24,112735,25034,38.28081298,9.657836645,512.483906,59.65382427,9.4,Yes,16.34615385,20.2,301,387.7771851,0,0,13.5,88.8,12.5,0,20.34427768,11.57744976,60.29405,52085,72.56206808,0,21561,24.19646584,17.94907472,549,2.546264088,177,0.820926673,1178,5.46356848,11,0.051018042,10591,49.12109828,8998,41.73275822,1168,5.748314386,48.62019387,9564,44.73130349
48059,Texas,Callahan,2020,8864.004462,16.77024025,11.26346719,15.45211131,34.8,6.6,29.5,54.55552274,18.19815859,11.90476191,179.3,29.64426878,18.54679361,7.17051,21.43776,7.14592,4217,94,57.61523046,3.353810394,20.2,87744,17846,22.3125,13.6239782,88.39453427,77.00130757,7.9,Yes,13.16793893,31.7,247,443.8717584,0,0,13.4,43.1,16.4,0,19.81809079,10.89588378,57.16736,50330,52.47917493,0,13994,22.50250107,20.50164356,205,1.464913534,112,0.800343004,98,0.700300129,14,0.100042876,1387,9.911390596,12002,85.765328,81,0.621308583,50.47877662,9776,72.17956291
48061,Texas,Cameron,2020,6293.318216,31.35667073,8.135739361,13.18144455,30.8,7.3,24.5,65.60927576,15.49233458,19.16167665,557.4,51.23887615,29.03525716,48.85244,31.61063,56.61606,5259,89.5,47.10489511,6.165625508,40.2,81705,14433,37.32929965,5.050445454,319.1450409,32.52354288,9.3,Yes,24.44142139,21.4,3947,321.2552624,40.38679448,5.089210873,10.5,256,11.4,3.62270903,9.982517014,12.75307759,66.52387,38106,87.03308987,2.376789765,423908,30.32568388,13.54421242,1632,0.384989196,2825,0.666418185,3383,0.79805052,318,0.075016277,380728,89.81382753,37121,8.756852902,65826,17.04903936,51.32127726,34207,8.42080646
48063,Texas,Camp,2020,9970.315744,20.61638255,7.458143075,16.05153962,27.9,6.8,25.4,60.14031127,16.69892651,41.66666667,435.6,55.53708015,21.24148518,85.56982,38.36415,46.03698,6301,98.3,55.5187638,4.909819639,30.5,83698,20719,31.78866588,11.66861144,337.2480559,82.73751912,9.9,No,13.20132013,29.6,216,477.2151699,0,0,16,203.4,18.3,0,24.74134053,11.48475349,15.34566,43714,74.57337884,0,13033,26.57101205,18.52221284,2073,15.90577764,125,0.959103813,125,0.959103813,22,0.168802271,3345,25.66561805,7188,55.15230569,454,3.827993255,51.43865572,7624,61.47891299
48065,Texas,Carson,2020,6897.221362,13.0925759,5.626598466,12.55645187,27.6,7.8,23.5,72.40375283,20.5594407,0,845.5,18.89338731,17.02603743,0,16.65279,0,3799,98.8,71.41843972,2.828947368,12.2,126208,27792,25.61217737,21.55172414,377.2319557,76.47293523,7,No,4.043010753,35,89,384.3842723,0,0,8,0,12.7,0,0,12.97953964,116.56953,64799,32.74760383,0,6005,24.11323897,19.5337219,49,0.815986678,106,1.76519567,28,0.466278102,3,0.049958368,630,10.49125729,5102,84.96253122,31,0.547026646,49.87510408,5885,95.19572954
48067,Texas,Cass,2020,9286.483941,17.74558908,7.810552555,15.48732341,37.3,6.5,33.5,36.31499475,16.93571907,34.28571429,343.2,45.63780036,16.02195729,26.656,29.88147,23.24114,5262,96.9,42.68933539,5.058775841,32,86808,19033,35.31921153,16.99320272,377.112917,83.39952343,9.9,Yes,11.59728122,38.4,569,475.3346177,51.31212432,0,20.3,170.4,21,12.15389035,25.99526414,8.888888889,49.80245,44154,62.82846715,6.616976325,30119,22.58375112,22.11228793,5023,16.67718052,201,0.667352834,143,0.474783359,16,0.053122614,1416,4.701351307,22974,76.27743285,114,0.398531725,51.58869816,22547,74.01194853
48069,Texas,Castro,2020,7874.743424,24.1651924,6.913580247,14.09309612,27.3,8.6,21.5,48.92086331,17.13673158,30,357,55.11069242,28.8804265,12.75022,0,13.04631,2784,97.2,45.99542334,2.865248227,24.2,87818,24379,23.96657872,11.47520082,108.8696766,59.56388875,7.3,No,13.25301205,24.3,86,373.2800701,0,0,18,0,9.5,0,0,17.61436511,39.13894,45689,74.15402567,0,7665,28.55838226,15.81213307,160,2.087410307,139,1.813437704,54,0.704500979,1,0.013046314,5020,65.49249837,2367,30.88062622,924,12.86370597,48.53228963,3689,45.75787646
