Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient,Health Center Type,Health Center Location Type,Health Center Location Setting
"CABUN RURAL HEALTH SERVICES, INC.",HAMPTON,Arkansas,Calhoun,2018,AR,7809,0.1645537,0.6624408,0.1730055,0.4933333,0.07786673,0.4072628,0.002993622,0.00312378,0.00312378,0.008460236999999999,0.03624023,0.9498476,0.6761189999999999,0.18068889999999999,0.22922270000000003,0.2452299,0.3448585,1.0,0.08118837,0.9280316999999999,0.0,0.0,1.0,0.47114929999999994,0.20289129999999997,0.04315533,0.00038417199999999995,20,7,1.0,0.14285710000000001,0.35055559999999997,0.47648900000000005,0.7854707,0.3870285,0.225,0.6111111,0.7592955,0.6477463000000001,0.5554449,875.0402,Service Delivery Site,Permanent,All Other Clinic Types
SUN LIFE FAMILY HEALTH CENTER,CASA GRANDE,Arizona,Pinal,2018,AZ,48949,0.2949192,0.5427895,0.1622914,0.5606626,0.4843907,0.04906221,0.007096225,0.0057861530000000005,0.00139741,0.01299155,0.10925660000000001,0.9988879,0.8166296,0.1447016,0.3831947,0.185111,0.2869926,0.9161985,0.1190014,0.08141126,0.006884716999999999,0.0,0.02067458,0.29096350000000004,0.1907504,0.05585658,0.0014939679999999998,1326,820,0.7209653,0.06755127,0.4142857,0.5,0.5857143,0.4857143,0.3285714,1.0,0.8142857,0.8285714,0.6,883.3434,Service Delivery Site,Permanent,All Other Clinic Types
AMERICAN INDIAN HEALTH & SERVICES,SANTA BARBARA,California,Santa Barbara,2018,CA,7126,0.392366,0.5102442,0.09738984,0.7554076,0.6120626,0.04409544,0.05406222,0.1905769,0.0,0.08305648,0.09738984,0.9089187,0.592803,0.08335672,0.8060623,0.09837216,0.01220881,0.6421555,0.6077744,0.02904855,0.0,0.0,0.0,0.16103270000000003,0.1093011,0.05878497,0.000437063,24,16,0.9583333,0.0,0.49503159999999996,0.02560241,0.3743396,0.37964990000000004,0.3137255,0.9122806999999998,0.6190475999999999,0.8196720999999999,0.7065461999999999,1438.714,Service Delivery Site,Permanent,All Other Clinic Types
AVENAL COMMUNITY HEALTH CENTER,AVENAL,California,Kings,2018,CA,27524,0.500436,0.44150559999999994,0.05805842,0.8946255999999999,0.8380841999999998,0.01393091,0.01033787,0.14618,0.008446798,0.02244075,0.22998110000000002,0.9445960999999999,0.7359312,0.19067,0.6337378,0.054388900000000004,0.12120330000000001,0.6423485,0.4421232,0.01544107,0.00319721,0.08309112,0.1053989,0.26244029999999996,0.2126603,0.036481900000000005,0.00016968299999999998,341,214,0.8709677,0.06043956,0.5285714,0.3678187,0.6199893,0.20836939999999998,0.1207547,0.7231638000000001,0.7173913000000001,0.7005348000000001,0.5128652,748.2208,Service Delivery Site,Permanent,All Other Clinic Types
BORREGO COMMUNITY HEALTH FOUNDATION,BORREGO SPGS,California,San Diego,2018,CA,229473,0.3604563,0.5670602,0.07248347,0.7236560000000001,0.6398680999999999,0.04777062,0.0280388,0.02042045,0.01119166,0.014504699999999999,0.5294784,0.9723122999999999,0.7310675999999999,0.05079029,0.8634306,0.02377622,0.06200294,0.4050106,0.6553668,0.02807738,0.0,0.004915610999999999,0.1983894,0.1507296,0.10391099999999999,0.03876736,0.01107178,2894,1711,0.8500344999999999,0.07803468,0.5758784,0.5491944999999999,0.6564875,0.2655648,0.302168,0.9568346,0.7768052,0.8085938,0.6517335,1320.741,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
CLINICA MONSENOR OSCAR A. ROMERO,LOS ANGELES,California,Los Angeles,2018,CA,11603,0.144273,0.7418771,0.1138499,0.9823200999999999,0.952786,0.01690692,0.009788219,0.0011567889999999999,0.0006228869999999999,0.0006228869999999999,0.8205636999999999,0.9924086,0.8231539000000001,0.45471000000000006,0.48056540000000003,0.0587779,0.005946738000000001,0.8558131,0.266569,0.05360683,0.03283634,0.03068172,0.026889599999999996,0.3471106,0.28121979999999996,0.0408862,0.001309164,234,81,0.7307691999999999,0.1351351,0.6616012,0.6523236,0.9173049000000001,0.5735786,0.3037975,0.8851351000000001,0.8981481,0.9030611999999999,0.6756479999999999,1260.02,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
COASTAL HEALTH ALLIANCE,POINT REYES STATION,California,Marin,2018,CA,4466,0.182266,0.5846395000000001,0.2330945,0.3131171,0.2852832,0.005208333,0.004971591,0.002604167,0.003314394,0.01325758,0.2124944,0.8404756,0.32202129999999995,0.13412449999999998,0.35691890000000004,0.1950291,0.3139274,0.9399911,0.17241379999999998,0.05620242,0.0,0.007165249,0.0,0.1914793,0.06359912,0.07265364,0.000476417,44,25,0.8636364,0.0,0.5730948,0.6445498000000001,0.6683704,0.3228296,0.01612903,0.8253968,0.6666667,0.7294118,0.5403727,1227.21,Administrative,Permanent,Unknown
EL DORADO COUNTY COMMUNITY HEALTH CENTER,PLACERVILLE,California,El Dorado,2018,CA,10888,0.2956466,0.5933138000000001,0.11103969999999999,0.3031466,0.2325404,0.008878915,0.01287931,0.006342082,0.005366376999999999,0.06517709,0.11903010000000001,0.8736815999999998,0.596517,0.06594416,0.6997612,0.15944160000000002,0.07485305,0.9357091000000001,0.20637399999999997,0.20637399999999997,0.02939015,0.0,0.04399339,0.2880547,0.1134588,0.071064,0.001374166,50,48,0.72,0.04166667,0.5666549,0.9492273999999999,0.887824,0.37,0.22962960000000002,0.942623,0.8607143,0.8219697,0.7531831,1371.854,Service Delivery Site,Permanent,All Other Clinic Types
HILL COUNTRY COMMUNITY CLINIC,ROUND MOUNTAIN,California,Shasta,2018,CA,6518,0.1971464,0.6517335999999999,0.15112,0.159934,0.07537769999999999,0.01000339,0.01746355,0.02356731,0.000678196,0.04798237,0.000613685,0.8808691999999999,0.5071789000000001,0.1132249,0.5082846999999999,0.2456275,0.1328628,0.8056151999999999,0.3330776,0.1362381,0.000153421,0.0,0.01304081,0.272063,0.13508720000000002,0.06055989,0.00057132,54,32,0.8518519,0.0,0.3985547,0.7827586,0.7729905,0.4156419,0.01923077,0.7941176,0.6933333,0.7165109000000001,0.6214789000000001,1757.086,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
KARUK TRIBE OF CALIFORNIA,HAPPY CAMP,California,Siskiyou,2018,CA,4105,0.23873320000000003,0.5987819999999999,0.16248479999999998,0.5665885,0.08141593,0.006775068,0.009485095,0.47371270000000004,0.00406504,0.03929539,0.002436054,0.8376445,0.5440286,0.09939098,0.49573690000000004,0.13934229999999997,0.2655298,0.7451888000000001,0.47771009999999997,0.05164434,0.02387333,0.0,0.0,0.40332779999999996,0.16442400000000001,0.05361229,0.008172605,47,9,0.9787234,0.0,0.44589309999999993,0.4241379,0.8443878,0.4287072,0.12903230000000002,1.0,0.5076923,0.3391304,0.5206522,2625.9590000000003,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
LIFELONG MEDICAL CARE,BERKELEY,California,Alameda,2018,CA,66581,0.30349499999999996,0.590679,0.105826,0.8624704,0.43613620000000003,0.4623314,0.1020304,0.0064461169999999995,0.01045009,0.02518813,0.2310869,0.9498359000000001,0.8457445,0.15367750000000002,0.6691549,0.1086797,0.06848801,0.8211801999999999,0.18727560000000001,0.07758971,0.01091903,0.007419534,0.08439345,0.2723413,0.15609879999999998,0.06061271,0.004590764000000001,1322,580,0.8055975999999999,0.05851064,0.5624725,0.5163949000000001,0.40940040000000005,0.3804962,0.428392,0.8218451999999999,0.7298729,0.7470220999999999,0.6149475999999999,1283.417,Administrative,Permanent,Unknown
"MENDOCINO COAST CLINICS, INC.",FORT BRAGG,California,Mendocino,2018,CA,9801,0.2695643,0.5328028,0.1976329,0.2610531,0.2214583,0.0062185059999999995,0.0102927,0.005253565,0.002144312,0.01876273,0.08948067,0.9145616,0.5479434,0.1673299,0.456484,0.16651359999999998,0.20967249999999998,0.8882767,0.29129679999999997,0.05509642,0.00765228,0.0,0.01724314,0.33280859999999995,0.09533469,0.04939122,0.004709395999999999,180,94,0.9555556000000001,0.07446808,0.5775353,0.5984556,0.3647417,0.4904281,0.33846149999999997,0.8022599,0.6829268000000001,0.7427385999999999,0.5238554,1243.906,Service Delivery Site,Permanent,All Other Clinic Types
"MISSION CITY COMMUNITY NETWORK, INC.",NORTH HILLS,California,Los Angeles,2018,CA,40431,0.17024070000000002,0.7263733,0.10338599999999999,0.8134875,0.5808439000000001,0.187167,0.1094027,0.0053276009999999995,0.005748201,0.0023834,0.3002647,0.9748030999999999,0.8048499,0.1503797,0.7711904,0.04439663,0.03403329,0.4687987,0.37308009999999997,0.2909401,0.01288615,0.03776805,0.0,0.15171089999999998,0.21359050000000002,0.06225599,0.01598607,181,112,0.8618785,0.04424779,0.442121,0.9866710999999999,0.33814299999999997,0.5344543,0.35877859999999995,0.4430894,0.5399060999999999,0.6323185,0.6356291999999999,829.5139,Service Delivery Site,Permanent,All Other Clinic Types
NORTH EAST MEDICAL SERVICES,SAN FRANCISCO,California,San Francisco,2018,CA,69883,0.2178212,0.5792968000000001,0.202882,0.9597136000000001,0.02556967,0.0107261,0.9321277,0.001400352,0.007001758,0.000432023,0.8118999,0.8961623,0.5873455,0.1065924,0.5952377,0.1570911,0.1410787,0.8219738999999999,0.26836279999999996,0.01697122,0.0,0.1353691,0.7467195,0.2803892,0.1210733,0.02630479,0.000278542,871,452,0.8897818000000001,0.06858407,0.7636179,0.8319648000000001,0.8049666999999999,0.8303252,0.748731,0.9215686,0.8692306999999999,0.8537200999999999,0.7315033000000001,1382.516,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
NORTHEAST VALLEY HEALTH CORPORATION,SAN FERNANDO,California,Los Angeles,2018,CA,94228,0.4254786,0.5364753999999999,0.03804602,0.8851513000000001,0.7683260999999999,0.0854143,0.02360101,0.004146438,0.001823503,0.01872285,0.19852910000000001,0.96965,0.7306265000000001,0.22882800000000003,0.7229804,0.02676487,0.02142675,0.9052829,0.1866112,0.05765802,0.01185423,0.003640107,0.1321263,0.2214286,0.1479822,0.05690304,0.003047958,2453,1366,0.8699551999999999,0.06616541,0.7092108,0.8353782,0.8631259,0.5158627,0.5291539000000001,0.9369627,0.8115501,0.842872,0.66017,1161.508,Administrative,Permanent,Unknown
REDWOOD COAST MEDICAL SERVICES,GUALALA,California,Mendocino,2018,CA,4528,0.16629860000000002,0.47813599999999995,0.35556540000000003,0.2566735,0.18159260000000002,0.003473945,0.008436725,0.03870968,0.003722084,0.05682382,0.06294169,0.9229219000000001,0.3551637,0.2952738,0.2034011,0.19368370000000001,0.3076414,0.9043728000000001,0.2698763,0.05410777,0.0,0.0,0.05167845,0.17315139999999998,0.08529493,0.04493285,0.000732601,16,5,0.5625,0.0,0.42631579999999997,0.01609658,0.43163779999999996,0.3267974,0.0,0.5166667,0.7361111,0.7272727,0.5333334,1588.981,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
"SALUD PARA LA GENTE, INC.",WATSONVILLE,California,Santa Cruz,2018,CA,27282,0.45121320000000004,0.4968111,0.05197566,0.9570386000000001,0.9385148000000001,0.002241897,0.00478778,0.009043584,0.000455979,0.006877684,0.7488821,0.9614239,0.6349524000000001,0.1390294,0.6370501000000001,0.04024632,0.1836742,0.8381716999999999,0.4136794,0.06901987,0.01011656,0.1072135,0.09654717,0.1100644,0.1139539,0.04246294,0.000174925,1428,800,0.6764706,0.06965174,0.7008871999999999,0.9,0.41172879999999995,0.4571429,0.6276084,0.9,0.6571429,0.7037036999999999,0.6285506,1485.9229999999998,Service Delivery Site,Permanent,All Other Clinic Types
SAN BENITO HEALTH FOUNDATION,HOLLISTER,California,San Benito,2018,CA,5255,0.36060890000000007,0.5843958,0.05499524,0.9196755999999999,0.8868325,0.0032219090000000002,0.006846556,0.04128071,0.01026983,0.4319372,0.6546145999999999,0.9481659,0.6907895000000001,0.743863,0.21845860000000003,0.01446242,0.02321598,0.5061846,0.6881065,0.0,0.0,0.1659372,0.08011418,0.2918447,0.2060145,0.01203008,0.00075188,25,18,0.64,0.1363636,0.5685815,0.9480519000000001,0.9650582000000001,0.2837838,0.45833329999999994,1.0,1.0,0.0,0.5668016,793.4072,Service Delivery Site,Permanent,All Other Clinic Types
SHASTA COMMUNITY HEALTH CENTER,REDDING,California,Shasta,2018,CA,33379,0.4091794,0.497079,0.09374157,0.23035,0.1312928,0.0252752,0.04040342,0.01331406,0.003843552,0.0252752,0.04290123,0.9238648000000002,0.6036968,0.10254949999999999,0.6546331999999999,0.16872879999999998,0.0740885,0.9079362,0.21777159999999998,0.05260793,0.01303215,0.02025225,0.0,0.3038303,0.14994770000000002,0.04150993,0.00663235,263,107,0.6958175,0.04672897,0.5669773,0.6133126,0.8742488000000002,0.4916201,0.1907328,0.8483334000000001,0.7715616999999999,0.8748386999999999,0.7655147,1517.523,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
SHINGLETOWN MEDICAL CENTER,SHINGLETOWN,California,Shasta,2018,CA,1820,0.1417582,0.5296704000000001,0.3285714,0.08571429,0.05054945,0.002747253,0.004395605,0.01703297,0.004395605,0.01483516,0.006593407,0.8587912,0.754945,0.04340659,0.3252747,0.39230770000000004,0.239011,0.965934,0.0,0.1263736,0.0,0.0,0.16978020000000002,0.3316942,0.13407439999999998,0.04948806,0.0,6,0,0.8333333,0.0,0.627451,0.39247309999999996,0.4784423,0.4049409,0.08333334,0.48,0.7142857,0.7120000000000001,0.6735113,1737.09,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
SOUTH BAY FAMILY HEALTHCARE CENTER,TORRANCE,California,Los Angeles,2018,CA,16883,0.27631350000000005,0.6672392,0.05644731,0.8648589,0.5049757,0.25879789999999997,0.05678397,0.002283816,0.02439531,0.01100384,0.1751466,0.9732238999999999,0.7285851,0.18420899999999998,0.6261328,0.03139253,0.1582657,0.9725166999999999,0.04969496,0.01812474,0.0,0.0,0.4311438,0.29188109999999995,0.2273888,0.04476521,0.000426335,519,306,0.6840076999999999,0.08490566,0.6919831,0.9498525,0.8084840999999999,0.7688498,0.9010988999999999,0.9766355,0.9255319,0.8498169,0.619861,715.4277,Administrative,Permanent,All Other Clinic Types
SOUTH CENTRAL FAMILY HEALTH CENTER,LOS ANGELES,California,Los Angeles,2018,CA,22207,0.3041383,0.6236322,0.07222947,0.9463428,0.9022710999999999,0.04188456,0.0008308489999999999,0.000342114,0.000244367,0.01168076,0.7499887,0.9917049000000001,0.8943171999999998,0.4093304,0.5146125,0.04849822,0.02755888,0.9189895,0.18413110000000002,0.006124195,0.02791912,0.0,0.1724681,0.2723212,0.28407340000000003,0.0254312,0.000539004,507,301,0.8205128,0.07540984,0.5499255,0.6699029000000001,0.9096735999999999,0.41818900000000003,0.7994792,0.8110236,0.875576,0.8464729999999999,0.6016640999999999,972.6053,Service Delivery Site,Permanent,All Other Clinic Types
SOUTHERN TRINITY HEALTH SERVICES,MAD RIVER,California,Trinity,2018,CA,3897,0.1111111,0.7084937,0.18039520000000003,0.1474704,0.06812204,0.01320225,0.01151685,0.03820225,0.003651685,0.03314607,0.02078522,0.8499353000000001,0.4421087,0.1521683,0.3536053,0.2237619,0.2704645,0.8527072,0.1991275,0.04901206,0.0,0.0,0.0,0.1869926,0.09173238,0.05507072,0.000601866,8,7,1.0,0.0,0.4714795,0.9388489,0.2881185,0.44009040000000005,0.0,1.0,0.9672130999999999,0.35625,0.466055,1052.59,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
"T.H.E. CLINIC, INC.",LOS ANGELES,California,Los Angeles,2018,CA,14630,0.3592618,0.5869446,0.05379358,0.9733823,0.40907129999999997,0.6843613000000001,0.02321776,0.002557022,0.003988954,0.0261839,0.2818182,0.9749241,0.8302987,0.2501025,0.6693096,0.05652768,0.02406015,0.936637,0.10902260000000001,0.02248804,0.0033492820000000003,0.0,0.03062201,0.2932639,0.1742747,0.08720718,0.0222579,316,142,0.6297469,0.1521739,0.4889295,0.497996,0.5922046,0.31183720000000004,0.6303502,0.7490909,0.919708,0.8515625,0.5253114999999999,1045.448,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
"TIBURCIO VASQUEZ HEALTH CENTER, INC.",UNION CITY,California,Alameda,2018,CA,27777,0.4368362,0.5117903,0.05137344,0.8899578000000001,0.7121416,0.05806356,0.0945946,0.0017448770000000001,0.01273389,0.02427978,0.04068114,0.9601806,0.5975621,0.27090759999999997,0.6934514,0.02113259,0.01450841,0.9241819,0.3161609,0.03798106,0.0,0.04338121,0.021312599999999998,0.2354496,0.16363670000000002,0.04199291,0.0005064080000000001,1109,483,0.7511270999999999,0.02484472,0.6150091,0.4883222,0.6926432,0.3975309,0.45094940000000006,0.8495049000000001,0.8478261,0.816,0.6905114,1122.61,Service Delivery Site,Permanent,All Other Clinic Types
TRI-CITY HEALTH CENTER,FREMONT,California,Alameda,2018,CA,26025,0.3076273,0.5924688,0.09990394,0.8390711,0.3598368,0.06251468,0.37383540000000004,0.005832616,0.01056917,0.083379,0.17798270000000002,0.9528812,0.7196176999999999,0.23827089999999998,0.6476849,0.037809800000000005,0.07623439,0.8019212,0.4030356,0.03903938,0.005033622,0.1785591,0.1562728,0.2538245,0.1565457,0.05951126,0.01231433,321,143,0.9283488999999999,0.06293707,0.4733728,0.9398941999999999,0.9190805000000001,0.4895771,0.44262299999999993,0.8314028,0.8655173,0.806338,0.5640461999999999,1508.705,Service Delivery Site,Permanent,All Other Clinic Types
VALLEY COMMUNITY HEALTHCARE,N HOLLYWOOD,California,Los Angeles,2018,CA,24230,0.22418490000000002,0.7086669,0.06714816,0.8712686,0.7841486999999999,0.035382199999999996,0.04015068,0.002622669,0.01130132,0.03371322,0.2827074,0.9737104,0.7906324,0.3985968,0.5363186,0.03871234,0.02637227,0.8654973,0.1418077,0.03099464,0.0,0.2461824,0.3288485,0.2046023,0.18134579999999997,0.03867245,0.005483763000000001,415,196,0.9204819,0.08205128,0.6481649,0.6693226999999999,0.9626846,0.40285859999999996,0.2486486,0.8246914000000001,0.7227723,0.6886791999999999,0.7109705,967.4158,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
WATTS HEALTHCARE CORPORATION,LOS ANGELES,California,Los Angeles,2018,CA,23783,0.33069840000000006,0.5991675,0.07013413,0.9846893,0.4927152,0.5626699000000001,0.003252427,0.000825243,0.001601942,0.00184466,0.28760040000000003,0.9857136999999999,0.8920783999999999,0.09481563,0.8176849,0.04801749,0.03948198,0.8683093000000001,0.20670229999999998,0.01908926,0.01051171,0.08224362,0.05571206,0.2718202,0.1541973,0.07287782,0.009297371,490,297,0.6204082,0.11152419999999999,0.6542965000000001,0.9854222,0.9690787000000001,0.5078416,0.3119048,0.8127962,0.8387097,0.8411765,0.611588,1614.339,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
