Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient
"ILIULIUK FAMILY AND HEALTH SERVICES, INC.",UNALASKA,Alaska,Aleutians West,2016,AK,3786,0.09165346,0.8697834,0.03856313,0.5931241,0.1375691,0.1322011,0.2644023,0.03230103,0.06560107,0.008991009,0.07078711,0.9980198,0.2910891,0.5158479,0.01637612,0.01003698,0.457739,0.9244585,0.1204437,0.04067618,0,0.02245114,0,0.09232225,0.03987595,0.04285714,0,55,14,0.8545455,0,0.1754069,0.09174312,0.2814745,0.07700312,0.1428571,1,0.6666667,0.625,0.3276451,1585.714
INTERIOR COMMUNITY HEALTH CENTER,FAIRBANKS,Alaska,Fairbanks North Star,2016,AK,5558,0.1959338,0.6937748,0.1102915,0.2367698,0.06984761,0.06627864,0.0413068,0.0264739,0.005257229,0.05576418,0.01061533,0.7558975,0.4535384,0.2679021,0.2957898,0.134041,0.302267,0.7419935,0.3639798,0.1304426,0,0,0,0.3839366,0.1545494,0.06450049,0.006547042,22,15,0.6818182,0,0.3917526,0.09414226,0.3651606,0.4960474,0.2666667,0.9069768,0.9090909,0.8383839,0.5797789,1016.965
KODIAK AREA NATIVE ASSOCIATION,KODIAK,Alaska,Kodiak Island,2016,AK,3344,0.2912679,0.6196172,0.08911483,0.8460285,0.05836271,0.003781513,0.02142857,0.7962185,0.002521008,0.01008403,0.004784689,0.6574712,0.2942529,0.4013158,0.2296651,0.07326555,0.2957536,0.8110048,0.4772727,0.1220096,0.06220096,0.04126794,0.04126794,0.1867127,0.07771022,0.05309734,0.000368732,101,56,0.8415841,0.03571429,0.5,0.2857143,0.3428572,0.6142857,0.2962963,0.8793104,0.6031746,0.8607595,0.5983146,5181.301
KODIAK ISLAND HEALTH CARE FOUNDATION,KODIAK,Alaska,Kodiak Island,2016,AK,2918,0.307745,0.6100069,0.08224811,0.4548924,0.1004834,0.01296777,0.3078918,0.004816599,0.02223046,0.04038533,0.1696367,0.7104451,0.2706038,0.1463331,0.2350925,0.0692255,0.5493489,0.9348869,0.1398218,0.05723098,0,0,0,0.2373448,0.1187282,0.05095308,0.000366569,109,58,0.706422,0.05454545,0.4585909,0.3648148,0.4163424,0.2191558,0.42,0.8421053,0.8461539,0.849315,0.5829597,1211.337
MANILLAQ ASSOCIATION,KOTZEBUE,Alaska,Northwest Arctic,2016,AK,8549,0.4036729,0.532226,0.06410106,0.9209691,0.00903862,0.007789449,0.005074944,0.8985011,0.00542901,0.001180219,0.000701837,0.608357,0.3572946,0.06363317,0.5958592,0.04304597,0.2974617,0.8417359,0.485086,0,0,0.1959293,0,0.3780281,0.1291857,0.03529739,0.000416898,332,14,0.8825301,0,0.4851896,0.03825586,0.5864893,0.5453194,0.3661972,0.7368421,0.1295337,0.560166,0.5962617,3572.833
"MAT-SU HEALTH SERVICES, INC.",WASILLA,Alaska,0,2016,AK,2847,0.1415525,0.7460485,0.112399,0.1270292,0.0433583,0.02286648,0.01959984,0.03389138,0.007758269,0.00285831,0.00913242,0.7553231,0.5211057,0.1703548,0.4432736,0.1822972,0.2040745,0.6631542,0.1131015,0.4394099,0,0,0.01369863,0.1802102,0.110353,0.04819915,0.000529661,6,4,1,0,0.4593374,0.2551724,0.3654073,0.1997147,0,0.9555556,0.9230769,0.75,0.6735395,1584.797
MUNICIPALITY OF SKAGWAY,SKAGWAY,Alaska,Skagway-Hoonah-Angoon,2016,AK,1551,0.136686,0.7053514,0.1579626,0.1134454,0.04596527,0.00855615,0.01390374,0.04064171,0.005347594,0.004278075,0.01289491,0.605,0.2508333,0.3926499,0.03675048,0.101225,0.4693746,0.9832366,0.06060606,0.07479046,0,0,0,0.1368811,0.04204649,0.02754098,0.001311475,39,15,0.948718,0.1333333,0.21875,0,0.4666161,0.008752735,0.3846154,1,0.95,0.6666667,0.6536313,1823.778
NATIVE VILLAGE OF EYAK,CORDOVA,Alaska,Valdez-Cordova,2016,AK,1269,0.2434988,0.643814,0.1126872,0.416952,0.0459307,0.01252236,0.1368515,0.226297,0.003577817,0.005366726,0.0212766,0.9492386,0.4060914,0.2750197,0.1473601,0.1048069,0.4728132,0.9873917,0,0.05437352,0,0.04334121,0,0.2038413,0.09894234,0.03750998,0,45,16,0.9333333,0.0625,0.3495702,0.3285714,0.6435432,0.3102493,0.44,0.9411765,0.7272727,0.7857143,0.5631579,2344.35
NORTON SOUND HEALTH CORPORATION,NOME,Alaska,Nome,2016,AK,10070,0.367428,0.5571003,0.0754717,0.8727701,0.007551349,0.003700278,0.003391921,0.8636037,0.000102786,0,0.003574975,0.4468665,0.119891,0.2654419,0.4224429,0.06514399,0.2469712,0.6720954,0.4854022,0.08540218,0,0.302284,0.01608739,0.2188481,0.06718849,0.03856383,0,342,208,0.5730994,0.05769231,0.4857143,0.2571429,0.6857143,0.6142857,0.2890625,1,0.9508197,0.9276316,0.5511302,6248.321
"PENINSULA COMMUNITY HEALTH SERVICES OF ALASKA, INC.",SOLDOTNA,Alaska,Kenai Peninsula,2016,AK,6059,0.2675359,0.5847499,0.1477141,0.1480452,0.04615083,0.00864148,0.01828778,0.05004019,0.002411576,0.03677653,0.05793035,0.9740293,0.6760092,0.1592672,0.3792705,0.1650437,0.2964185,0.8651593,0.3295923,0.3880178,0,0,0,0.1348807,0.1044983,0.04273178,0.000381534,26,7,0.9230769,0.25,0.3356578,0.1008264,0.7042037,0.2412141,0.5333334,0.65,0.5577342,0.9132653,0.5988258,2013.525
SELDOVIA VILLAGE TRIBE,SELDOVIA,Alaska,Kenai Peninsula,2016,AK,2923,0.2384536,0.6370168,0.1245296,0.2617119,0.03694834,0.006771205,0.009978618,0.2106201,0.003207413,0,0.001368457,0.7150183,0.2593407,0.2979815,0.2808758,0.083818,0.3373247,0.7523093,0.3650359,0.04618543,0,0,0.01539514,0.150241,0.05976235,0.05638927,0.000909504,20,9,0.8,0,0.4465195,0.9816754,0.7208672,0.3449541,0.1904762,1,0.9615384,0.9571428,0.686747,1500.587
"SEWARD, CITY OF",SEWARD,Alaska,Kenai Peninsula,2016,AK,1935,0.1979328,0.6625323,0.1395349,0.1073378,0.02800954,0.01708359,0.02318487,0.02745577,0.004881025,0.0152532,0.01343669,0.7542263,0.5305592,0.1844961,0.1147287,0.1250646,0.5757106,1,0,0,0,0,0.01033592,0.1214099,0.03856563,0.02790698,0,19,0,0.6842105,0.2222222,0.4428571,0.3714286,0.4571429,0.3428572,0.12,0.9375,0.6829268,0.8301887,0.8571429,1375.966
SOUTHCENTRAL FOUNDATION,ANCHORAGE,Alaska,Anchorage,2016,AK,2034,0.2763028,0.6111111,0.112586,0.7639198,0.02699725,0.003785011,0.003785011,0.7358062,0.002271007,0.009084027,0,0.7714007,0.4046693,0.3426745,0.2910521,0.09537856,0.2708948,0.7964602,0.3411996,0.05506391,0,0.05162242,0,0.3366469,0.1214478,0.04938272,0.000617284,47,27,0.7446808,0.1851852,0.3478261,0.1428571,0.6428571,0.4718045,0.4642857,0.875,0.4444444,0.6086956,0.5714286,5329.313
SOUTHEAST ALASKA REGIONAL HEALTH CONSORT,SITKA,Alaska,Sitka,2016,AK,7056,0.2234977,0.6078514,0.1686508,0.4956785,0.01775854,0.004409976,0.006843066,0.4586375,0.004409976,0.009884428,0.001558957,0.5801957,0.2635636,0.1609977,0.218254,0.08588436,0.5348639,0.9998583,0.3907313,0.3003118,0,0.1873583,0.013322,0.2535049,0.07119986,0.03104181,0.000708717,113,30,0.840708,0.06666667,0.5376543,0.05714286,0.2142857,0.488196,0.1733333,0.9428571,0.6666667,0.8857143,0.5571429,2640.5
"SUNSHINE COMMUNITY HEALTH  CENTER, INC.",TALKEETNA,Alaska,Matanuska-Susitna,2016,AK,3439,0.1576039,0.6731608,0.1692352,0.09077381,0.0212271,0.005131301,0.007546031,0.03893752,0.001509206,0.02022336,0.000290782,0.9377049,0.5285246,0.2439663,0.244257,0.1747601,0.3370166,0.8685665,0.2931085,0.07734807,0.02471649,0.03285839,0.004361733,0.2584765,0.07945923,0.04352193,0.000334784,22,12,0.8181818,1,0.3478261,0.375,0.3154253,0.3115016,0.2222222,0.8214286,0.75,0.7966102,0.6356589,1658.5
TANANA CHIEFS CONFERENCE,FAIRBANKS,Alaska,Fairbanks North Star,2016,AK,4203,0.3004996,0.5529384,0.146562,0.748642,0.009223301,0.000742023,0.003710116,0.7373238,0.000989364,0.00222607,0,0.7490827,0.4095399,0.1280038,0.1203902,0.03164406,0.7199619,0.7718297,0.3390435,0.06733286,0.04425411,0.05662622,0.01713062,0.3663888,0.1209696,0.03298397,0.000308261,79,57,0.6329114,0.05263158,0.3734644,0.0292887,0.3605833,0.514776,0.372549,0.8333333,0.6615385,0.3614458,0.5509202,3473.536
YAKUTAT TLINGIT TRIBE,YAKUTAT,Alaska,Yakutat,2016,AK,603,0.1973466,0.6185738,0.1840796,0.6765873,0.06301824,0.006024096,0.03413654,0.5823293,0.01204819,0.002008032,0,0.5324427,0.3778626,0.2703151,0.1807629,0.13267,0.4162521,0.9983416,0,0.09121061,0.009950249,0,0.3117745,0.1728438,0.07949691,0.02325581,0,17,14,1,0,0.08571429,0.08571429,0.1714286,0.2571429,1,1,0.6451613,0.9047619,0.1807229,3999.516
YUKON KUSKOKWIM HEALTH CORPORATION,BETHEL,Alaska,Bethel,2016,AK,10098,0.4608833,0.4769261,0.06219053,0.9765021,0.001287766,0.001090729,0.000991572,0.9739217,0.000297472,9.92E-05,0.02059814,0.9530135,0.7944092,0.2755991,0.5600119,0.0328778,0.1315112,0.6935037,0.6105169,0.01257675,0.02089523,0.09902951,0.000198059,0.1976376,0.05418383,0.03070113,0.000571184,294,151,0.7789116,0.03954802,0.4621212,0.0144657,0.2308095,0.2343612,0.6553673,0.59375,0.5957447,0.7301587,0.7608108,1074.765
ALABAMA REGIONAL MEDICAL SERVICES,BIRMINGHAM,Alabama,Jefferson,2016,AL,10077,0.1516324,0.7981542,0.05021336,0.7714856,0.2070818,0.5555667,0.003591381,0.00169593,0.001596169,0.007382283,0.1686018,0.872249,0.6426325,0.6356058,0.2686315,0.03989283,0.0558698,0.8533294,0.1735636,0,0.01865635,0,0.0284807,0.3104501,0.116231,0.05372718,0.000581463,33,8,0.5757576,0.125,0.4156354,0.8803264,0.644766,0.1017326,0.7446808,0.884393,0.8309859,0.4647887,0.5588496,669.2088
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC.",BAYOU LA BATRE,Alabama,Mobile,2016,AL,12392,0.4137347,0.4945126,0.09175275,0.3917171,0.02415771,0.2314746,0.0669145,0.05138373,0.002643536,0.02684841,0.02138476,0.9300401,0.7717372,0.4223693,0.3866204,0.08102001,0.1099903,1,0,0.1938347,0,0.1007908,0.1450936,0.2483615,0.1576577,0.0551969,0.000403486,371,188,0.819407,0.1176471,0.6714286,0.1571429,0.6857143,0.2232207,0.4285714,0.9857143,0.8714285,0.7571428,0.5284738,589.3429
CAHABA MEDICAL CARE FOUNDATION,CENTREVILLE,Alabama,Bibb,2016,AL,6762,0.2493345,0.6289559,0.1217096,0.2649611,0.01667659,0.2459411,0.001202646,0.001803969,0.001202646,0.000901984,0.009760426,0.8674644,0.5950299,0.1465543,0.2959184,0.2037859,0.3537415,0.9979296,0.01523218,0.007542147,0,0,0.3262348,0.3527046,0.1595741,0.04682869,0.000444576,128,77,0.796875,0.16,0.5114613,0.7507136,0.8631162,0.4524781,0.4698795,0.8813559,0.9353612,0.8516321,0.6531891,1222.253
CAPSTONE RURAL HEALTH CENTER,PARRISH,Alabama,Walker,2016,AL,3719,0.1349825,0.8088196,0.0561979,0.1204527,0.02556512,0.08720303,0.000539957,0.007559395,0.01295896,0.005669546,0.01909115,0.958735,0.7296568,0.4302232,0.2936273,0.09572466,0.1804248,1,0,0.001075558,0,0,0.1107825,0.3465254,0.1745982,0.0306534,0.000537779,4,4,0.75,0.25,0.2659933,0.3458824,0.4351465,0.4243772,0,0.8974359,0.875,0.8108108,0.5395684,727.348
CENTRAL NORTH ALABAMA HEALTH,HUNTSVILLE,Alabama,Madison,2016,AL,18910,0.3252248,0.593707,0.08106822,0.5840825,0.1269699,0.4509254,0.009730302,0.000634585,0.003225806,0.005393971,0.07890005,0.958238,0.7637921,0.4016393,0.3669487,0.116129,0.1152829,0.9460603,0.1041777,0,0,0,0.1608673,0.2558764,0.08764521,0.03873672,0.000838457,23,21,0.2608696,0.3333333,0.7857143,0.8142857,0.7714286,0.1,0.1857143,0.8571429,0.9264706,0.9179105,0.4676682,475.7721
"CHRIST HEALTH CENTER, INC.",BIRMINGHAM,Alabama,Jefferson,2016,AL,6959,0.2046271,0.7443599,0.05101307,0.72812,0.2702428,0.4582604,0.006859311,0.000875657,0.000437828,0.003502627,0.2418451,0.9496763,0.7452495,0.5349907,0.2961632,0.06638885,0.1024572,0.8522776,0.2863917,0.001724386,0,0,0.1082052,0.2892406,0.1519183,0.09323891,0.002023268,25,7,0.88,0.1428571,0.3384213,0.5211694,0.7195902,0.2343324,0.3846154,0.8757396,0.9078014,0.8857143,0.5378398,593.8021
"FRANKLIN PRIMARY HEALTH CENTER, INC.",MOBILE,Alabama,Mobile,2016,AL,34498,0.1967071,0.7181866,0.08510638,0.7099379,0.04352356,0.6576121,0.005023614,0.002526848,0.006166712,0.008482989,0.06420662,0.9840354,0.8082402,0.5575686,0.2497536,0.08791814,0.1047597,0.7886254,0.2362166,0.005188707,0.08513537,0.1047597,0.2992927,0.3887758,0.1784895,0.04748952,0.01036536,184,97,0.7554348,0.04123711,0.262913,0.2971746,0.435651,0.1725173,0.1895911,0.9846939,0.8086734,0.7319062,0.5001183,710.4666
"HEALTH SERVICES, INC.",MONTGOMERY,Alabama,Montgomery,2016,AL,33928,0.473768,0.4758901,0.0503419,0.8558542,0.1153687,0.804907,0.006166732,0.000527635,0.008442158,0.01803852,0.09187102,0.8815067,0.8093727,0.308241,0.5246994,0.06457793,0.1024817,0.9087774,0.1654091,0,0,0.008252771,0.03253949,0.3461561,0.1646247,0.08795771,0.00139461,394,128,0.6370558,0.1230769,0.3023499,0.2831624,0.2244386,0.473712,0.9285714,0.9777778,0.8191964,0.6782787,0.500896,687.6594
MOBILE COUNTY HEALTH DEPARTMENT,MOBILE,Alabama,Mobile,2016,AL,44275,0.3868323,0.5884133,0.02475438,0.6666667,0.0769072,0.5539657,0.01149345,0.02119541,0.02047416,0.01628627,0.07634105,0.9923475,0.9327042,0.513179,0.3573123,0.02604178,0.103467,1,0.1653077,0.02728402,0.004539808,0.01996612,0.1243817,0.217624,0.06709336,0.02726143,0.01768492,666,373,0.7207207,0.09115282,0.7792365,0.455349,0.8037213,0.2621517,0.257329,0.9775281,0.7896551,0.6233766,0.4461408,478.432
"NORTHEAST ALABAMA HEALTH SERVICES, INC.",SCOTTSBORO,Alabama,Jackson,2016,AL,10044,0.1680605,0.717941,0.1139984,0.06605284,0.03413514,0.01771187,0.0025744,0.007105344,0,0.009576769,0.02110713,0.9948173,0.8069448,0.2884309,0.2051971,0.1530267,0.3533453,1,0.06949423,0,0,0,0,0.3436935,0.1547485,0.01991239,0.000298686,43,30,0.9534883,0.1290323,0.6022937,0.5789835,0.7692215,0.3136213,0.6333333,1,0.8023256,0.7942238,0.5233088,411.0585
"QUALITY OF LIFE HEALTH SERVICES, INC.",GADSDEN,Alabama,Etowah,2016,AL,58003,0.1786632,0.7737358,0.04760098,0.4891875,0.1836682,0.3078431,0.002619572,0.001301112,0.000485749,0.000780667,0.174353,0.9667723,0.8660329,0.7044291,0.1614227,0.04713549,0.08701274,0.9330724,0.3053635,0.03636019,0.003723945,0.08615071,0.07399617,0.2151079,0.1002768,0.03440439,0.000351065,0,0,0,0,0.5499833,0.5759485,0.9279903,0.2349823,0.2580645,0.8093221,0.7846639,0.609209,0.8331935,462.9996
"RURAL HEALTH MEDICAL PROGRAM, INC.",SELMA,Alabama,Dallas,2016,AL,6869,0.04250983,0.7736206,0.1838696,0.9611074,0.4446276,0.9373764,0.002142386,0.000659196,0.000659196,0,0.01543165,0.859375,0.6734776,0.351434,0.1633426,0.2945116,0.1907119,0.734168,0.265832,0,0,0,0,0.2051449,0.2210519,0.02439024,0.000198295,0,0,0,0,0.6208389,0.005988024,0.200779,0.01485411,0,0.6190476,0.4477612,0.4903226,0.3285421,553.1121
S.E. ALABAMA RURAL HEALTH ASSOCIATES,TROY,Alabama,Pike,2016,AL,74967,0.2016621,0.6101885,0.1881495,0.386821,0.04562193,0.3343921,0.004999129,0.001715519,0.01121788,0.00042888,0.03133379,0.996147,0.8267511,0.186402,0.1571625,0.2601545,0.396281,1,0,0,0,0,0.03003988,0,0.1575906,0.0468873,0.001067136,0,0,0,0,0.1900033,0.4597597,0.278708,0.09431417,0.03448276,0.9361022,0.8178484,0.6941384,0,225.3821
"WHATLEY HEALTH SERVICES, INC",TUSCALOOSA,Alabama,Tuscaloosa,2016,AL,26291,0.2045947,0.7016089,0.09379636,0.7016397,0.07442613,0.630945,0.006352349,0.001979953,0.002021202,0.006599843,0.04134495,0.9859807,0.8571526,0.5038987,0.2513788,0.1137652,0.1309574,0.8528013,0.1934122,0.03004831,0,0,0.04412156,0.391774,0.1566198,0.06195085,0.01619018,264,147,0.3712121,0.1088435,0.469869,0.7251462,0.8857143,0.06236526,0.1085526,0.8857143,0.9,0.8571429,0.4332756,672.9241
"1ST CHOICE HEALTHCARE, INC.",CORNING,Arkansas,Clay,2016,AR,16085,0.2715574,0.6169723,0.1114703,0.04860937,0.02561226,0.009217754,0.002083465,0.003661847,0.005177095,0.01003851,0.01330432,0.8534635,0.5866261,0.1334784,0.4103823,0.1727075,0.2834318,1,0,0,0,0,0.4284737,0.3603899,0.141791,0.04289711,0.00012434,143,56,0.8321678,0.1578947,0.402218,0.2209229,0.4619043,0.2117024,0.1719298,0.7159091,0.69279,0.6837147,0.5387745,754.7103
ARCARE,AUGUSTA,Arkansas,Woodruff,2016,AR,56277,0.2450735,0.6599854,0.09494109,0.2304076,0.02792778,0.1914978,0.003134288,0.002359723,0.0065748,0.008790417,0.009399933,0.969736,0.6889264,0.1307639,0.4349201,0.156014,0.278302,0.9961263,0,0.005153082,0.000568616,0,0.1206354,0.29309,0.1187732,0.04024332,0.005262313,199,123,0.6984925,0.8292683,0.2370511,0.3849239,0.8767307,0.2875784,0.7435898,0.5500371,0.7350649,0.7533578,0.5235538,851.3919
"BOSTON MOUNTAIN RURAL HEALTH CENTER, INC",MARSHALL,Arkansas,Searcy,2016,AR,12147,0.2481271,0.588952,0.1629209,0.08266643,0.06145105,0.003847211,0.00357241,0.005679216,0.002015206,0.01080883,0.04486705,1,0.3901193,0.07738537,0.430806,0.2239236,0.2678851,0.9849346,0.009055734,0.007656211,0,0,0.0715403,0.3528614,0.1492197,0.01930792,0.000334336,12,6,0.75,0.1666667,0.3733008,0.9230068,0.9613092,0.3843389,0.08130081,0.8181818,0.7107143,0.8533686,0.6784112,848.3082
"CABUN RURAL HEALTH SERVICES, INC.",HAMPTON,Arkansas,Calhoun,2016,AR,7338,0.1575361,0.6723903,0.1700736,0.4905042,0.07657658,0.4076005,0.003429826,0.002606668,0.003978598,0.005076142,0.03802126,0.9300146,0.5607165,0.1355955,0.2527937,0.249523,0.3620878,1,0.03570455,0.1980104,0,0,0.8394658,0.4597,0.2068845,0.05124012,0.000545108,12,10,0.1666667,1,0.4954472,0.534965,0.6812312,0.2017512,0.1052632,0.9069768,0.6538461,0.6866242,0.5503765,871.1553
"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",WEST MEMPHIS,Arkansas,Crittenden,2016,AR,15857,0.1257489,0.7438986,0.1303525,0.6551549,0.03052665,0.6225452,0.002104055,0.000892629,0.007969906,0.0100102,0.01160371,0.9787194,0.8093221,0.2371823,0.4375355,0.1838935,0.1413887,0.7693763,0.2852999,0.03367598,0,0.06350508,0.01210822,0.4878228,0.2186954,0.05540984,0.01409836,376,132,0.7074468,0.09774436,0.6553519,0.9298999,0.900886,0.5502142,0.3783784,0.7675439,0.8614232,0.9459016,0.5809839,854.8948
