<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
Wellness Pointe - Pine Tree,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gregg County,TX
Jane Pauley Community Health Center at Holy Cross North Campus School,Yes,Service Delivery Site,Permanent,School,Madison County,IN
Rural Health Group at Enfield,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Halifax County,NC
Care Connections Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX
Student Health &amp; Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Petworth Health Center DC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
Chandler Center for Women,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
Progress Place clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montgomery County,MD
Alcona Health Center Pickford Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chippewa County,MI
OneWorld Livestock Campus Livestock Building,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,NE
The Burnham at Woodlawn Park,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Reed Elementary School,Yes,Service Delivery Site,Permanent,School,Ada County,ID
Aspire Indiana Health - Noblesville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,IN
SHUQUALAK/NOXUBEE HEALTH CENTER (Temporary Site),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Noxubee County,MS
CHEBOYGAN INVERNESS ACADEMY,Yes,Service Delivery Site,Seasonal,School,Cheboygan County,MI
Access School Health-North Pontotoc,Yes,Service Delivery Site,Seasonal,School,Pontotoc County,MS
Seward Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kenai Peninsula Borough,AK
Community Healthcare Center - Juarez Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wichita County,TX
"Florida Community Health Center, Moore Haven",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Glades County,FL
Lebanon Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lebanon County,PA
Ocala West Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,FL
WEST SALEM CLINIC MENTAL HEALTH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Polk County,OR
Ingleside Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Norfolk City,VA
Peabody School-Based Clinic,Yes,Service Delivery Site,Seasonal,School,Rapides Parish,LA
GVHC - TURLOCK PEDIATRIC HEALTH CENTER 1199 Suite 3,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
CHILDREN'S FARM HOME,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Benton County,OR
"Comprehensive Community Health Centers, Inc-Sunland",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Bridge Community Health Clinic Merrill Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lincoln County,WI
"Gulf Coast Health Center, Inc. - Jasper Dental",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jasper County,TX
Neighborhood Health King Street Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alexandria City,VA
GRAND AVENUE HOMELESS CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pueblo County,CO
Avenue 360 Northeast,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Central City Community Health Center - Baldwin Park #2,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
GOSHEN MEDICAL CENTER - FREMONT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,NC
Center for Child Health and Resiliency,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
Phoebe Sumter Primary Care Clinic - Ellaville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Schley County,GA
Morton Nowata Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nowata County,OK
County of Monterey - Seaside Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monterey County,CA
207 South Broad St. - Admin,No,Administrative,Permanent,Unknown,Fairfield County,OH
West Miami Middle,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
StayWell South End Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Haven County,CT
ACCESS Southwest Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
BORREGO COMMUNITY HEALTH FOUNDATION,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
First Choice Health Centers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tolland County,CT
Kiamichi Family Medical Center - Idabel,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McCurtain County,OK
JTCHS - Corporate Office Complex,No,Administrative,Permanent,Unknown,Miami-Dade County,FL
"AltaMed Medical Group: Anaheim, Lincoln",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Rossville Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,TN
HARDIN COUNTY MEDICAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hardin County,IL
THUNDER BAY COMMUNITY HEALTH SERVICE - ONAWAY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Presque Isle County,MI
RHCHC Administration,No,Administrative,Permanent,Unknown,Wapello County,IA
ARCADIA CHILDREN'S HEALTH CARE CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,DeSoto County,FL
GOSHEN MEDICAL CENTER - HAMLET,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond County,NC
Eisner Health Optometry at Encino,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Northside Medical Center &amp; Administration,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Richmond City,VA
Cadman Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
GENERATIONS FHC - NORWICH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New London County,CT
HEAD START SITE,Yes,Service Delivery Site,Permanent,School,Allen County,OH
IS 302,Yes,Service Delivery Site,Permanent,School,Kings County,NY
BREVIG MISSION CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nome Census Area,AK
Calumet High School,Yes,Service Delivery Site,Permanent,School,Lake County,IN
James Madison Elementary Health Center,Yes,Service Delivery Site,Permanent,School,Weber County,UT
Sikeston Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Madrid County,MO
Mary Todd Elementary HealthFirst Bluegrass School Clinic,Yes,Service Delivery Site,Seasonal,School,Fayette County,KY
Legacy Caroline - Administrative,No,Administrative,Permanent,Unknown,Harris County,TX
"His Branches, Inc: Joy Family Medicine",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,NY
"Molokai Community Health Center, Building #10, Registration Department",No,Administrative,Permanent,All Other Clinic Types,Maui County,HI
Elica Health Centers - Midtown Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
HAWTHORNE ELEMENTARY SCHOOL-BASED CLINIC,Yes,Service Delivery Site,Permanent,School,Alameda County,CA
A.I. PRINCE TECHNICAL SCHOOL,Yes,Service Delivery Site,Seasonal,School,Hartford County,CT
Mercy office at Marshall Co Delk Henson Intermediate,Yes,Service Delivery Site,Permanent,School,Marshall County,TN
"SIHF Healthcare, 3 St. Elizabeth’s Boulevard, Suite 4000, O’Fallon, IL 62269",Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Clair County,IL
Abraham Lincoln High School,Yes,Administrative/Service Delivery Site,Permanent,School,Kings County,NY
ACRS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
Greensburg Health Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Green County,KY
"Family Health Care Clinic, Inc. -- Water Valley",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yalobusha County,MS
C. L. Brumback Primary Care Clinic - Mangonia Park,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Palm Beach County,FL
"Community Medical Centers, Tracy Grant Line Road",Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA
Sea Mar CHC - Vancouver Delaware Lane,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,WA
CCHCI Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Cochise County,AZ
Community Action Health Center Beeville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bee County,TX
Sandy Lake Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,PA
Newport Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cocke County,TN
Hickory Hill Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Shelby County,TN
Westside Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI
Denmark-Olar High School,Yes,Service Delivery Site,Permanent,School,Bamberg County,SC
Centro Medico Escondido Administration,No,Administrative,Permanent,All Other Clinic Types,San Diego County,CA
Douglas Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coffee County,GA
Crossroad Heath Center West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH
Ampla Health - Yuba City Medical,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sutter County,CA
Bartz-Altadonna Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
1100 Washington Street,No,Administrative,Permanent,Unknown,Suffolk County,MA
Mobile Van 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Adair County,MO
GARDNER SOUTH COUNTY HEALTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
TCC Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
SOUTHSIDE MEDICAL CENTER - Norcross Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gwinnett County,GA
FLATLANDS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
MOUNTAINLANDS FAMILY HEALTH CENTER- PAYSON,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Utah County,UT
L.C. Learning Academy,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC
Torrington Soup Kitchen c/o Trinity Church,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Litchfield County,CT
Grace SBHC Corbin School of Innovation,Yes,Service Delivery Site,Permanent,School,Whitley County,KY
Tidioute Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Warren County,PA
Neighborhood Health at Alexandria CSB,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alexandria City,VA
Community Healthcare Center at Zundy,Yes,Service Delivery Site,Permanent,School,Wichita County,TX
Southeast Community Health Systems - Jewel M. Sumner High School-Based,Yes,Service Delivery Site,Seasonal,School,Tangipahoa Parish,LA
Glenville Elementary SBH,Yes,Service Delivery Site,Seasonal,School,Gilmer County,WV
Valley View Health Center - Morton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis County,WA
Wesley Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
Endeavor Elementary School,Yes,Service Delivery Site,Permanent,School,Canyon County,ID
Hurtt Pediatric Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,CA
Schuylkill Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Schuylkill County,PA
Toomer Elementary School,Yes,Service Delivery Site,Seasonal,School,DeKalb County,GA
TIBURCIO VASQUEZ HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
"Community Health Centers of Pinellas, Inc, Clearwater Dental",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinellas County,FL
Grand Central Neighborhood Association,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
RHN - Suite 3710,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,FL
MS 61 - Dr. Gladstone H. Atwell,Yes,Administrative/Service Delivery Site,Permanent,School,Kings County,NY
Comstock Elementary School,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
Clover Fork School Based Health at Cawood Elementary,Yes,Service Delivery Site,Permanent,School,Harlan County,KY
CHP - West Yellowstone,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gallatin County,MT
Fremont County Pediatrics and Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fremont County,WY
Central City Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Easton High School,Yes,Service Delivery Site,Seasonal,School,Talbot County,MD
PMS - TULAROSA MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Otero County,NM
ChapCare Lincoln,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
WHITE BIRD CLINIC,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lane County,OR
Refuah Health Twin,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rockland County,NY
ALVISO HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
Plaza del Sol Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Queens County,NY
MOUNTAIN VIEW SBHC,Yes,Service Delivery Site,Seasonal,School,Shasta County,CA
Family and Intercultural Resource Center (FIRC),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Summit County,CO
VALLEY PEDIATRICS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Luzerne County,PA
LifeLong West County Health Center – Pinole,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Live Well Community Health Center- Odessa,Yes,Service Delivery Site,Permanent,School,Lafayette County,MO
AxessPointe CHC Barberton Location,No,Administrative,Permanent,All Other Clinic Types,Summit County,OH
Bandon Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Coos County,OR
Heritage Health Family Support Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kootenai County,ID
E. A. HAWSE HEALTH CENTER INC.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hardy County,WV
Heartland at Health Department,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,KS
VPCHC - Ivy Tech,Yes,Service Delivery Site,Permanent,School,Vigo County,IN
PanCare Carrabelle Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,FL
Lincoln County Middle Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Lincoln County,KY
Westside Neighborhood Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA
Mobile Medical Van,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Yates County,NY
Marram Health Center Administrative Offices,No,Administrative,Permanent,Unknown,Porter County,IN
Shortridge High School,Yes,Service Delivery Site,Seasonal,School,Marion County,IN
LOWRY SUPPORTIVE HOUSING,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO
Marin Family Birth Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marin County,CA
HEALTH CARE FOR THE HOMELESS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Natrona County,WY
John P. Musante Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hampshire County,MA
Ribault High School Clinic,Yes,Service Delivery Site,Permanent,School,Duval County,FL
NEIGHBORHOOD HEALTHCARE ~ PAUMA VALLEY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Ellsworth Avenue Elementary School Dental Suite,Yes,Service Delivery Site,Seasonal,School,Fairfield County,CT
BHA Evans Center Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brevard County,FL
COMC Tuscumbia School Site,Yes,Service Delivery Site,Permanent,School,Miller County,MO
Lone Star Circle of Care at El Buen Samaritano,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX
HHC- South Allison Hill,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dauphin County,PA
SCOTT COMMUNITY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alamance County,NC
Greater Cincinnati Behavioral Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH
Community Action Health Center Beeville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bee County,TX
FamilyHealth at City College,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
EGLON CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Preston County,WV
Sea Mar CHC - Lacey Woodland Square Loop,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Thurston County,WA
South of Market Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
Fisher Elementary School,Yes,Service Delivery Site,Permanent,School,Marion County,IN
"TCCH Pasco – Dental, Behavioral Health &amp; WIC",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,WA
Highland Health Providers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Highland County,OH
Jordan Health at Community Place,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,NY
Family Wellness Center - Hope Building,No,Administrative,Permanent,All Other Clinic Types,Yolo County,CA
"Northern Nevada HIV Outpatient Program, Education and Services",No,Administrative,Permanent,Unknown,Washoe County,NV
LSCC Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Williamson County,TX
Huntingdon Health Services Suite 201,No,Administrative,Permanent,All Other Clinic Types,Lee County,FL
ARcare - 20,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Woodruff County,AR
Oakhurst Midtown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fulton County,GA
SB Dental at Fairgrieve Elementary School,Yes,Service Delivery Site,Seasonal,School,Oswego County,NY
CareConnect Convenient Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tift County,GA
New River Health SBHC - Coal City Elementary,Yes,Service Delivery Site,Seasonal,School,Raleigh County,WV
"NORTHWEST MICHIGAN HEALTH SERVICES, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Leelanau County,MI
Albion Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Edwards County,IL
Clinica de las Americas,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Broward County,FL
Jackson-Hinds Comprehensive Health Center South Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hinds County,MS
North Little Rock Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pulaski County,AR
Pineville Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bell County,KY
WALLTOWN CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Durham County,NC
Benewah Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Benewah County,ID
Community Health Center of Southeast Kansas/Baxter Springs,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cherokee County,KS
WellSpace Health - Professional Health Center for Women,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
NHCLV,No,Administrative,Permanent,Unknown,Lehigh County,PA
The Women's Center at Clinton Family,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,NY
Rineyville Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Hardin County,KY
Juniper Health - Elliott County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Elliott County,KY
Battenkill Valley Health Center Inc.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bennington County,VT
Kilcollin Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,WV
Working Against Violence Inc.,Yes,Service Delivery Site,Permanent,Domestic Violence,Pennington County,SD
WAIANAE COAST COMPREHENSIVE HEALTH CTR,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Salud Baker Central School,Yes,Service Delivery Site,Seasonal,School,Morgan County,CO
ENGLEWOOD HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Arapahoe County,CO
"AltaMed Medical Group: Anaheim,  Lincoln - West",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
"CAMAI COMMUNITY HEALTH CTR, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bristol Bay Borough,AK
Westville Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adair County,OK
COOS COUNTY FAMILY HEALTH SVCS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coos County,NH
Moorpark Family Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA
Zapata,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Zapata County,TX
CHCRR Shoreham Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Addison County,VT
Stamford Academy SBHC,Yes,Service Delivery Site,Permanent,School,Fairfield County,CT
San Elizario Satellite Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,El Paso County,TX
BANGOR AREA HOMELESS SHELTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
Cudahy Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Riverside Intermediate School,Yes,Service Delivery Site,Seasonal,School,Doniphan County,KS
West Mountain Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Warren County,NY
Community Health Alliance Outreach Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washoe County,NV
St. Barbara's Nursing Home,Yes,Service Delivery Site,Permanent,Nursing Home,Marion County,WV
Woods Mullen Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
"Unify Community Health, West Central",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Spokane County,WA
Broadway,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinal County,AZ
TLC @ Riverside Drive,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wicomico County,MD
HAMILTON COMMUNITY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,OH
Citrus Health Center West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL
VHC Moorpark-Maternal Fetal Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
Hamilton West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,OH
BAY MILLS INDIAN COMMUNITY,No,Administrative,Permanent,All Other Clinic Types,Chippewa County,MI
Loudoun Community Health Center dba HealthWorks for Northern Virginia,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Loudoun County,VA
Northwest Health Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Buchanan County,MO
Cahaba Medical Care - CJ Donald Elementary,Yes,Service Delivery Site,Seasonal,School,Jefferson County,AL
Seneca Health Center and Dental Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kane County,IL
Sea Mar CHC - Vancouver 5411 E. Mill Plain Blvd.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,WA
VALLEY HEALTH - OTOLARYNGOLOGY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cabell County,WV
ACCESS Paul and Mimi Francis Westside Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
"TIBURCIO VASQUEZ HEALTH CENTER, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
Emeryville USD,Yes,Service Delivery Site,Permanent,School,Alameda County,CA
Gillespie Community Unit School District #7,Yes,Service Delivery Site,Permanent,School,Macoupin County,IL
CompleteCare Women&#39;s Medical Professionals,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cumberland County,NJ
BROADWAY FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
YourTown Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Carroll County,GA
Legacy SAC Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
LOGAN HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Alameda County,CA
Missouri Ozarks Community Health Licking Medical,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Texas County,MO
Trilogy Heartland Healthcare Home,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Genesee Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,NY
Jeffco Family Health Services Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,CO
VNA Health Center - Ecker Center for Mental Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kane County,IL
Crisp County School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Crisp County,GA
Health Center at Rio Grande,Yes,Service Delivery Site,Permanent,All Other Clinic Types,El Paso County,CO
Bushwick Family Residence,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
VALLEY FAMILY HEALTH CARE - La Familia Sana & Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Malheur County,OR
